Season,Episode,Character,Dialogue,Timestamp
1,1,Mark,"And instead of lodging a complaint, you…",00:51:18
1,1,Petey,No.,00:51:18
1,1,Petey,I tried that first. So did you.,00:51:21
1,1,Mark,"Right. Okay. So…You’ve unsevered. And now you, what, think they’re after you or something?",00:51:26
1,1,Petey,"Yeah. “They” being Graner, who’s probably out here right now.",00:51:41
1,1,Mark,"Graner. Okay. Is that, like, a person you know or…",00:51:49
1,1,Petey,We both know him. We don’t like him.,00:51:54
1,1,Mark,I see.,00:51:59
1,1,Petey,"Nothing down there is what they say. If something happens to me, the things I know need to stay known. I’d prefer it be by a friend.",00:52:06
1,1,Mark,"So, we’re friends?",00:52:28
1,1,Petey,I’m your best friend. You’re my very good friend.,00:52:32
1,1,Petey,"Mark, sorry about the card. and I know it’s not appropriate. Though I’m sure you’d be a really fucking awesome niece. We used to wonder what kind of men we were on the outside, what choices we had made and why. I used to think it would take a monster to put someone in a place like that office. Especially if the person was himself. But we’re not monsters, Mark. Not real ones.",00:53:12
1,1,Petey,"If you don’t wanna know what’s going on down there, I won’t force it. But if you do, there’s an address on the back of this card. Go alone, and you’ll find the beginning of a very long answer.",00:53:55
1,1,Cobel,"Mark, is that you?",00:54:34
1,1,Mark,"Hi, Mrs. Selvig.",00:54:37
1,1,Cobel,Will you color me embarrassed for the mix-up with the bins?,00:54:39
1,1,Mark,"No, it’s no problem.",00:54:44
1,1,Cobel,How was dinner?,00:54:46
1,1,Mark,"Fine. I’m just, you know, tired.",00:54:48
1,1,Cobel,"You know, my mother was a Catholic. She used to say it takes the saints eight hours to bless a sleeping child. I hope you aren’t rushing the saints.",00:54:53
1,1,Mark,"Well, I’ll give them ample time tonight. Good night, Mrs. Selvig.",00:55:06
1,1,Cobel,Mark.,00:55:12
1,1,Cobel,You’re good people.,00:55:16
